Kilometer,Latitude,Longitude
50,50.08941719,30.23458403
55,50.04705037,30.21615127
60,50.00400567,30.19912139
65,49.96184709,30.17511887
70,49.91933464,30.19027852
75,49.87618242,30.1709265
80,49.8335643,30.16519203
85,49.79586163,30.20154865
90,49.75096943,30.19880551
95,49.70609078,30.19575289
100,49.66145264,30.18848154
105,49.61692356,30.17924822
110,49.57223676,30.17309062
115,49.52731609,30.17157738
120,49.48289924,30.16216066
125,49.43997587,30.14368733
130,49.39853808,30.11823996
135,49.35420345,30.10785198
140,49.30955575,30.10137397
145,49.26524716,30.09085738
150,49.22117927,30.07943711
155,49.17658831,30.08108799
160,49.13358577,30.09618598
